sequence_no,event_type,node_id,lot_id,time_bucket,payload
26,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024260003,30,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 30}"
27,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024260004,30,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 30}"
28,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024260005,30,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 30}"
29,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024260006,30,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 30}"
30,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024260007,30,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 30}"
31,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024270001,31,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 31}"
32,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024270002,31,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 31}"
33,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024270003,31,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 31}"
34,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024270004,31,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 31}"
35,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024270005,31,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 31}"
36,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024270006,32,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 32}"
37,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024270007,32,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 32}"
38,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024280001,32,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 32}"
39,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024280002,32,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 32}"
40,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024280003,32,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 32}"
41,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024280004,33,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 33}"
42,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024280005,33,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 33}"
43,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024280006,33,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 33}"
44,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024280007,33,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 33}"
45,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024290001,33,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 33}"
