node,total_cost
CS_CN_PREMIUM,1311.7299999999996
CS_DE_PREMIUM,492.6600000000001
CS_IN_ASPIRER,711.1299999999999
CS_JP_REPLACEMENT,476.2799999999999
CS_UK_MAINSTREAM,514.7800000000002
CS_US_MAINSTREAM,1647.7300000000016
CS_US_PREMIUM,1315.2299999999989
DAD_FAS_AMER,2262431.6
DAD_FAS_APAC,1908271.900000001
DAD_FAS_EURO,769252.399999999
RT_CN_ONLINE,1402239.3700000003
RT_DE_ONLINE,526653.5399999996
RT_IN_ECOM,760197.9700000004
RT_JP_APPLE,509143.3200000002
RT_UK_CARRIER,550299.8200000003
RT_US_CARRIER,1761423.37
RT_US_ONLINE,1405980.870000001
WS_APAC,2289926.280000001
WS_EU,923102.8799999995
WS_NA,2714917.920000001
supply_point,18771832.419999998
